video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.640x360.vp9.none.mkv,3,3,2,2,3,2,2,3,4,3,3,2,2,2,3,3,3,5,3,3,3,3,3,2,3,4,3
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.854x480.vp9.none.mkv,4,5,3,3,3,4,2,3,3,4,3,1,1,3,5,3,3,4,3,4,3,4,4,3,4,3,3
NORWAY_-_A_Time-Lapse_Adventure_4K.1280x720.vp9.none.mkv,4,5,3,4,4,4,4,4,3,4,4,2,3,3,3,3,4,5,4,3,3,4,4,4,5,4,4
NORWAY_-_A_Time-Lapse_Adventure_4K.1920x1080.vp9.none.mkv,5,5,5,4,5,5,4,4,4,5,4,3,4,5,4,4,3,5,4,4,5,4,5,5,5,5,5
NORWAY_-_A_Time-Lapse_Adventure_4K.2560x1440.vp9.none.mkv,4,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5
NORWAY_-_A_Time-Lapse_Adventure_4K.256x144.vp9.none.mkv,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1
NORWAY_-_A_Time-Lapse_Adventure_4K.3840x2160.vp9.none.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
NORWAY_-_A_Time-Lapse_Adventure_4K.426x240.vp9.none.mkv,2,2,2,3,1,2,2,2,2,2,1,2,1,1,3,2,1,2,2,1,1,2,2,3,3,3,2
NORWAY_-_A_Time-Lapse_Adventure_4K.640x360.vp9.none.mkv,2,1,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,2,3,3,3,3,3,4,4,4
NORWAY_-_A_Time-Lapse_Adventure_4K.854x480.vp9.none.mkv,3,3,3,3,2,4,3,3,3,3,2,2,2,3,3,3,2,5,3,3,3,4,4,3,4,4,3
Netflix_MERIDIAN_Full_12min_4K_60p.1280x720.vp9.none.mkv,5,4,3,4,3,5,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4
Netflix_MERIDIAN_Full_12min_4K_60p.1920x1080.vp9.none.mkv,4,5,5,4,4,5,5,5,5,4,5,4,4,5,5,5,3,5,5,4,5,5,5,4,5,5,5
Netflix_MERIDIAN_Full_12min_4K_60p.2560x1440.vp9.none.mkv,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,4,5,5,5
Netflix_MERIDIAN_Full_12min_4K_60p.256x144.vp9.none.mkv,1,1,2,2,1,2,2,2,1,3,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2
Netflix_MERIDIAN_Full_12min_4K_60p.3840x2160.vp9.none.mkv,4,5,5,5,4,5,4,5,5,4,5,4,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5
Netflix_MERIDIAN_Full_12min_4K_60p.426x240.vp9.none.mkv,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3
Netflix_MERIDIAN_Full_12min_4K_60p.640x360.vp9.none.mkv,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,4,3,2,3,2,3,3,4,4,4
Netflix_MERIDIAN_Full_12min_4K_60p.854x480.vp9.none.mkv,4,4,3,3,3,4,3,4,4,4,2,3,3,3,4,4,3,4,3,3,3,3,4,3,4,4,4
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.1280x720.vp9.none.mkv,4,3,3,4,3,4,3,3,4,3,4,4,3,3,3,4,3,4,3,1,3,3,4,3,4,4,4
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.1920x1080.vp9.none.mkv,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,3,5,3,4,4,3,5,3,4,5,4
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.2560x1440.vp9.none.mkv,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,3,5,4,4,4,4,5,4,5,5,4
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.3840x2160.vp9.none.mkv,4,4,3,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,4,4,4,5,4,4,5,5
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.426x240.vp9.none.mkv,3,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,3,2,2,1,2,2,2,2,3,3
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.640x360.vp9.none.mkv,3,2,2,2,2,2,3,3,3,1,3,3,2,2,2,2,2,3,2,1,2,2,3,3,3,3,3
No_Drama_-_Tinashe_ft.Offset_Youjin_Kim_Choreography.854x480.vp9.none.mkv,1,3,2,3,3,4,3,3,3,3,4,3,3,3,3,2,2,4,3,2,3,3,3,3,3,3,3
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.1280x720.vp9.none.mkv,3,4,4,3,4,4,4,4,4,4,4,3,2,3,4,4,3,4,4,4,3,4,5,3,5,4,4
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.1920x1080.vp9.none.mkv,4,4,3,3,3,4,4,4,5,5,5,4,3,4,5,5,3,5,4,3,4,4,5,2,4,5,4
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.2560x1440.vp9.none.mkv,4,5,4,3,3,5,4,4,5,5,5,4,3,4,5,5,4,5,5,4,4,4,5,3,5,5,4
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.256x144.vp9.none.mkv,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,3,1,2,1,2,2,2,2,1,1
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.3840x2160.vp9.none.mkv,5,4,3,5,4,4,5,4,5,5,5,4,4,4,5,5,4,5,5,3,5,4,5,3,4,5,5
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.426x240.vp9.none.mkv,2,1,1,2,2,3,2,2,2,2,3,2,1,2,3,2,1,2,2,2,2,2,3,2,3,2,3
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.640x360.vp9.none.mkv,3,2,2,3,2,2,3,3,3,3,4,3,2,2,3,4,2,4,2,2,3,3,3,2,4,4,3
Real_4K_HDR_-_Sintel_in_HDR_UHD_Chromecast_Ultra.854x480.vp9.none.mkv,3,2,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3
Samsung_-_Journey_Of_Color_UHD_4K_Demo_60_FPS.1280x720.vp9.none.mkv,4,5,4,4,3,5,4,4,4,3,4,4,3,4,4,4,3,5,4,3,4,5,4,4,4,5,4
Samsung_-_Journey_Of_Color_UHD_4K_Demo_60_FPS.1920x1080.vp9.none.mkv,4,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,5,4,5,5,5
Samsung_-_Journey_Of_Color_UHD_4K_Demo_60_FPS.2560x1440.vp9.none.mkv,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5
Samsung_-_Journey_Of_Color_UHD_4K_Demo_60_FPS.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
