video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29
Overwatch_kabajiow_2_160p.mp4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PUBG_mithrain_2_720p.mp4,4,4,4,3,4,5,4,3,4,4,5,4,4,3,3,4,4,4,5,4,4,4,4,3,4,3,4,3,3
PUBG_tsm_aimpr_1_360p.mp4,2,2,2,2,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,3,2,3,1,2
PoE_dontthecrown_1_160p.mp4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
PoE_dontthecrown_3_480p.mp4,3,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,2,3
PoE_esseexile_2_720p60_alt.mp4,5,3,3,2,5,4,5,3,4,5,4,4,4,5,3,4,4,4,4,4,5,3,5,4,5,4,4,3,4
Sekiro_kuro_ken_2_480p.mp4,3,2,3,3,2,2,3,2,2,2,3,4,3,2,2,3,3,3,4,3,2,3,3,3,4,2,3,2,2
Sekiro_manvsgame_1_160p.mp4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
Sekiro_smoke_1_900p60.mp4,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5
StarWarsBattlefront2_popehilarius_1_480p.mp4,3,2,2,3,2,2,3,2,2,3,2,1,3,3,1,2,2,2,4,1,2,2,3,2,3,2,2,2,2
StarWarsBattlefront2_praxatics_3_360p.mp4,2,2,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,3,3,2,3,2,2,2,3,2,2,1,2
StarWarsBattlefront2_ravenblack77_1_720p60.mp4,5,3,4,5,4,4,5,3,5,5,5,3,4,3,4,4,4,4,5,5,4,4,4,4,5,4,4,3,5
Starcraft2_basetradetv_2_480p.mp4,3,3,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3
Starcraft2_heromarine_1_720p60_alt.mp4,5,3,2,5,4,4,5,4,4,4,4,4,4,5,3,3,5,4,4,4,5,3,5,4,4,4,4,3,4
Starcraft2_terransuperman_3_160p.mp4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SuperMarioMaker_bluechocobo_1_480p.mp4,3,2,4,3,3,4,4,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,4,3,3,3,4,3,3
SuperMarioMaker_bluechocobo_1_720p60_alt.mp4,3,2,4,3,2,5,4,4,3,3,4,4,3,4,3,4,4,4,2,4,5,4,4,3,4,4,5,3,3
SuperMarioMaker_wugyeah_2_720p60.mp4,4,1,4,3,3,5,5,4,4,5,5,4,3,5,3,4,5,4,2,4,4,5,4,2,5,4,4,4,3
Torchlight2_kobrin_ow_1_720p60_alt.mp4,5,2,2,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,3,4,3,4,3,3
Torchlight2_maddig1985_1_360p.mp4,2,2,2,2,2,1,3,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Warcraft3_pommes_puppel_3_360p.mp4,2,2,2,2,3,2,3,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,3,1,3,2,2,2,2
Warcraft3_pommes_ruppel_480p_2_480p.mp4,3,2,3,2,3,3,3,3,3,3,3,2,3,3,2,4,3,3,4,3,3,3,3,2,3,3,3,2,2
WorldOfWarcraft_musclebrahtv_1_360p.mp4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,3,1,2,2,2,2,1,2,2,1,2
WorldOfWarcraft_safenko_2_720p60.mp4,4,3,3,3,4,4,4,3,4,3,5,4,3,5,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4
